t,target,rpm,mps,throttle,trim,event
0.000,0,0.0,0.000,0.000,+0.000,
0.027,0,0.0,0.000,0.000,+0.000,
0.053,0,0.0,0.000,0.000,+0.000,
0.080,0,0.0,0.000,0.000,+0.000,
0.106,0,0.0,0.000,0.000,+0.000,
0.140,0,0.0,0.000,0.000,+0.000,
0.166,0,0.0,0.000,0.000,+0.000,
0.193,0,0.0,0.000,0.000,+0.000,
0.217,0,0.0,0.000,0.000,+0.000,
0.250,0,0.0,0.000,0.000,+0.000,
0.277,0,0.0,0.000,0.000,+0.000,
0.303,0,0.0,0.000,0.000,+0.000,
0.351,0,0.0,0.000,0.000,+0.000,
0.377,0,0.0,0.000,0.000,+0.000,
0.404,0,0.0,0.000,0.000,+0.000,
0.428,0,0.0,0.000,0.000,+0.000,
0.461,0,0.0,0.000,0.000,+0.000,
0.488,0,0.0,0.000,0.000,+0.000,
0.514,0,0.0,0.000,0.000,+0.000,
0.562,0,0.0,0.000,0.000,+0.000,
0.588,0,0.0,0.000,0.000,+0.000,
0.615,0,0.0,0.000,0.000,+0.000,
0.639,0,0.0,0.000,0.000,+0.000,
0.671,0,0.0,0.000,0.000,+0.000,
0.698,0,0.0,0.000,0.000,+0.000,
0.724,0,0.0,0.000,0.000,+0.000,
0.771,0,0.0,0.000,0.000,+0.000,
0.798,0,0.0,0.000,0.000,+0.000,
0.824,0,0.0,0.000,0.000,+0.000,
0.849,0,0.0,0.000,0.000,+0.000,
0.877,0,0.0,0.000,0.000,+0.000,
0.903,0,0.0,0.000,0.000,+0.000,
0.930,0,0.0,0.000,0.000,+0.000,
0.977,0,0.0,0.000,0.000,+0.000,
1.004,0,0.0,0.000,0.000,+0.000,
1.030,0,0.0,0.000,0.000,+0.000,
1.055,0,0.0,0.000,0.000,+0.000,
1.088,0,0.0,0.000,0.000,+0.000,
1.115,0,0.0,0.000,0.000,+0.000,
1.141,0,0.0,0.000,0.000,+0.000,
1.184,0,0.0,0.000,0.000,+0.000,
1.210,0,0.0,0.000,0.000,+0.000,
1.237,0,0.0,0.000,0.000,+0.000,
1.261,0,0.0,0.000,0.000,+0.000,
1.294,0,0.0,0.000,0.000,+0.000,
1.321,0,0.0,0.000,0.000,+0.000,
1.347,0,0.0,0.000,0.000,+0.000,
1.390,0,0.0,0.000,0.000,+0.000,
1.416,0,0.0,0.000,0.000,+0.000,
1.443,0,0.0,0.000,0.000,+0.000,
1.467,0,0.0,0.000,0.000,+0.000,
1.505,0,0.0,0.000,0.000,+0.000,
1.532,0,0.0,0.000,0.000,+0.000,
1.558,0,0.0,0.000,0.000,+0.000,
1.599,0,0.0,0.000,0.000,+0.000,
1.625,0,0.0,0.000,0.000,+0.000,
1.652,0,0.0,0.000,0.000,+0.000,
1.676,0,0.0,0.000,0.000,+0.000,
1.710,0,0.0,0.000,0.000,+0.000,
1.736,0,0.0,0.000,0.000,+0.000,
1.763,0,0.0,0.000,0.000,+0.000,
1.810,0,0.0,0.000,0.000,+0.000,
1.837,0,0.0,0.000,0.000,+0.000,
1.863,0,0.0,0.000,0.000,+0.000,
1.888,0,0.0,0.000,0.000,+0.000,
1.921,0,0.0,0.000,0.000,+0.000,
1.947,0,0.0,0.000,0.000,+0.000,
1.974,0,0.0,0.000,0.000,+0.000,
2.021,0,0.0,0.000,0.000,+0.000,
2.048,0,0.0,0.000,0.000,+0.000,
2.074,0,0.0,0.000,0.000,+0.000,
2.099,0,0.0,0.000,0.000,+0.000,
2.132,0,0.0,0.000,0.000,+0.000,
